class	n	total	percentage
DNA/DTC	113	64396	0.0024869486943828313
DNA/DTH	40	11595	4.477944299547942e-4
DNA/DTT	20	10981	4.240819866609396e-4
DNA/Helitron	366	211375	0.008163221011789101
LINE/unknown	375	716377	0.02766620356599617
LTR/Copia	49	73359	0.0028330962990128286
LTR/Gypsy	488	667736	0.02578770689782617
LTR/unknown	1871	2012807	0.07773383037292105
Low_complexity	1733	85525	0.003302942528838618
MITE/DTM	1	261	1.0079719380612444e-5
Simple_repeat	10047	384835	0.01486217934037544
TIR/Tc1_Mariner	45	16248	6.274914961539884e-4
Unknown	1906	584341	0.022567024147840828
