class	n	total	percentage	Histoplasma suramericanum HC21_14
DNA/DTC	394	576416	0.02014689277582328	0.02014689277582328
DNA/DTM	630	577173	0.02017335144080013	0.02017335144080013
DNA/Helitron	237	122994	0.00429888644671488	0.00429888644671488
LINE/unknown	45	45738	0.00159863463502159	0.00159863463502159
LTR/Copia	59	17302	6.047395263269833e-4	6.047395263269833e-4
LTR/Gypsy	267	612531	0.02140918430242708	0.02140918430242708
LTR/unknown	2695	2915924	0.10191737941078964	0.10191737941078964
Low_complexity	1789	95921	0.00335263091577913	0.00335263091577913
MITE/DTA	1	257	8.982664331639966e-6	8.982664331639966e-6
MITE/DTM	251	56984	0.00199170484153374	0.00199170484153374
MITE/DTT	1	531	1.855951268521721e-5	1.855951268521721e-5
Simple_repeat	8849	362057	0.01265461673120845	0.01265461673120845
Unknown	2692	1743568	0.06094119098594877	0.06094119098594877
