class	n	total	percentage
DNA/DTA	15	8601	3.5519172734060754e-4
DNA/DTC	1138	251935	0.01040404927654412
DNA/DTH	2	4022	1.6609477123170836e-4
DNA/DTM	310	98076	0.004050201587101201
DNA/Helitron	1	2937	1.2128800176716247e-4
LINE/unknown	34	16215	6.696237482650798e-4
LTR/Copia	15	7640	3.155057315291526e-4
LTR/Gypsy	148	130060	0.00537103081710492
LTR/unknown	1911	1241571	0.05127261342936931
Low_complexity	1849	94769	0.003913633857498202
MITE/DTC	1	192	7.92893984994729e-6
MITE/DTM	2	539	2.225884676625828e-5
Simple_repeat	9058	354502	0.014639713722322993
TIR/Tc1_Mariner	19	8393	3.4660204250316467e-4
Unknown	1981	642753	0.026543488934235266
