class	n	total	percentage
DNA/DTC	287	217749	0.007763430171947844
DNA/DTM	838	209700	0.007476458248062966
DNA/DTT	1	711	2.5349364875406623e-5
DNA/Helitron	234	112856	0.004023667963964683
LINE/unknown	25	38150	0.0013601663431740685
LTR/Copia	63	46252	0.001649027882162176
LTR/Gypsy	177	606627	0.02162814228730421
LTR/unknown	1046	2369222	0.08447014479443127
Low_complexity	1689	85397	0.003044669074915752
MITE/DTC	1	572	2.0393581868822208e-5
MITE/DTM	286	72341	0.0025791820034483694
Simple_repeat	8724	342160	0.012199069881531828
Unknown	3401	2746435	0.09791896332150125
