Div DNA DNA/Crypton DNA/PiggyBac DNA/TcMar-Ant1 DNA/TcMar-Fot1 DNA/TcMar-Tc1 DNA/hAT-Ac LINE/CRE-Ambal LINE/R2 LINE/Tad1 LTR/Copia LTR/Gypsy RC/Helitron Simple_repeat Unknown 
0 3877 351 0 0 45 116 418 0 47 69449 3224 12201 171 0 35904 
1 773 440 0 0 0 1180 114 0 54 152411 4847 12229 99 0 28917 
2 976 0 0 3202 0 116 7752 32297 317 118244 4503 25138 0 0 27934 
3 1673 3240 0 8899 0 27 66818 3126 1058 69641 40566 82916 30 0 32614 
4 2309 1752 0 1591 0 0 84871 11487 2218 26604 66968 334747 519 0 35745 
5 2491 4251 429 3982 4632 0 122178 12320 1536 41901 54836 1359265 10129 0 42279 
6 2746 7189 0 566 54 110 72100 9320 1499 187620 18708 1335231 8643 0 38289 
7 826 2571 817 1801 0 542 26329 2818 1934 341936 13495 990197 2661 0 47634 
8 704 0 3004 1148 0 468 11304 0 2356 240930 13500 1090519 3739 0 22234 
9 931 2593 2065 0 0 0 24287 8863 2499 205530 31741 1073712 6012 0 17347 
10 501 0 407 0 0 0 7914 1683 3322 184811 11725 1070408 45026 0 10484 
11 0 424 406 334 0 994 5951 117 1839 91575 14909 1071211 23035 0 9419 
12 0 0 302 0 127 88 2869 0 2090 61016 6560 603241 16278 0 19015 
13 260 78 621 0 156 102 3090 0 973 39451 8485 254233 22378 0 9485 
14 413 0 0 1251 142 0 3145 0 1133 11522 4525 159116 6705 0 10532 
15 1147 77 1079 39 271 0 1324 0 318 9050 6851 108542 5237 0 7691 
16 0 0 346 0 41 0 1806 0 268 6850 2472 117899 6462 0 10669 
17 0 0 361 0 0 0 1268 0 183 8238 2646 110500 5975 0 6965 
18 300 0 0 0 447 43 3240 0 26 3112 2053 105663 5272 0 6438 
19 0 0 232 0 0 0 5668 138 71 3723 2137 112443 2954 0 5482 
20 0 0 0 0 78 131 10409 99 118 3125 2266 77112 1846 0 3481 
21 0 0 0 0 0 94 6295 0 119 6085 1874 50045 1607 0 4821 
22 0 0 0 360 1488 0 5543 0 230 160 313 35584 3379 0 3216 
23 119 0 0 0 119 0 5637 103 135 1683 192 27960 2414 0 2766 
24 0 0 0 0 101 0 2493 256 0 3400 850 24629 68 0 2819 
25 0 235 148 145 551 0 2340 101 83 877 227 15907 262 0 2862 
26 76 0 0 184 218 0 719 223 0 514 512 12960 0 0 2396 
27 0 159 0 0 929 57 1180 0 0 2529 942 10190 0 0 3010 
28 203 164 0 0 0 0 398 0 0 1009 314 6231 0 0 2299 
29 0 0 0 0 160 249 265 94 0 575 390 7614 170 0 1372 
30 193 0 0 140 577 124 257 151 0 547 606 3376 0 0 2251 
31 187 152 0 0 0 0 443 0 181 258 267 4975 0 0 1558 
32 4168 0 0 0 0 124 868 56 0 811 462 5422 0 0 3602 
33 1997 204 85 0 0 214 133 0 0 152 154 3884 0 0 1663 
34 880 0 0 0 0 0 0 298 17 754 0 1462 0 0 696 
35 1821 0 0 0 0 0 91 0 0 1381 1228 3744 0 0 557 
36 1071 0 0 0 0 124 0 0 0 824 753 4023 0 0 239 
37 0 0 0 0 0 0 0 0 0 140 18 3452 0 0 583 
38 0 166 0 0 0 0 0 0 0 879 946 2660 0 0 217 
39 509 0 0 0 0 0 238 601 0 437 627 2352 0 0 977 
40 127 0 0 0 0 0 74 0 0 465 234 2815 0 0 243 
41 596 0 0 0 0 0 0 0 0 288 831 4304 0 0 0 
42 0 0 0 0 0 0 0 0 0 167 554 3613 0 0 0 
43 0 0 0 0 0 0 0 87 0 0 255 4536 0 0 214 
44 0 0 0 0 0 0 0 0 0 0 328 2576 0 0 0 
45 370 0 0 0 0 0 0 0 0 0 113 3663 0 0 0 
46 0 0 0 0 0 0 0 0 0 0 359 1589 0 0 517 
47 0 0 0 0 0 0 0 0 0 0 0 1173 0 0 0 
48 0 0 0 0 0 0 0 0 0 0 571 0 0 0 223 
49 0 0 0 0 0 0 0 0 0 0 0 187 0 0 223 
50 0 0 0 0 0 0 0 0 0 0 0 396 0 0 260 
51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
59 0 0 0 0 0 0 0 0 0 0 343 0 0 0 0 
60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
