BASE,SPECIES,STRAIN,PHYLUM,LOCUS
Emmonsia_crescens_UAMH4076,Emmonsia_crescens,UAMH4076,Eurotiomycetes,PDND01
Blastomyces_parvus_UAMH130,Blastomyces_parvus,UAMH130,Eurotiomycetes,PDNC01
Histoplasma_capsulatum_WU24,Histoplasma_capsulatum,WU24,Eurotiomycetes,WU24
Histoplasma_ohiense_G217B,Histoplasma_ohiense,G217B,Eurotiomycetes,G217B
Histoplasma_capsulatum_var.duboisii_H88,Histoplasma_capsulatum,var.duboisii_H88,Eurotiomycetes,H88
Histoplasma_capsulatum_G186AR,Histoplasma_capsulatum,G186AR,Eurotiomycetes,G186AR
Histoplasma_capsulatum_G184AR,Histoplasma_capsulatum,G184AR,Eurotiomycetes,G184AR
Aspergillus_fumigatus_Af293,Aspergillus_fumigatus,Af293,Eurotiomycetes,Af293
Histoplasma_capsulatum_1371NJ,Histoplasma_capsulatum,1371NJ,Eurotiomycetes,1371NJ
Histoplasma_capsulatum_1436BN,Histoplasma_capsulatum,1436BN,Eurotiomycetes,1436BN
Histoplasma_capsulatum_1556-ZM,Histoplasma_capsulatum,1556-ZM,Eurotiomycetes,1556-ZM
Histoplasma_capsulatum_1704DA,Histoplasma_capsulatum,1704DA,Eurotiomycetes,1704DA
Histoplasma_capsulatum_19VMG-15,Histoplasma_capsulatum,19VMG-15,Eurotiomycetes,19VMG-15
Histoplasma_capsulatum_20VMK11,Histoplasma_capsulatum,20VMK11,Eurotiomycetes,20VMK11
Histoplasma_capsulatum_297-CGG,Histoplasma_capsulatum,297-CGG,Eurotiomycetes,297-CGG
Histoplasma_capsulatum_302-FLL,Histoplasma_capsulatum,302-FLL,Eurotiomycetes,302-FLL
Histoplasma_capsulatum_302FLL,Histoplasma_capsulatum,302FLL,Eurotiomycetes,302FLL
Histoplasma_capsulatum_355UP,Histoplasma_capsulatum,355UP,Eurotiomycetes,355UP
Histoplasma_capsulatum_46SS,Histoplasma_capsulatum,46SS,Eurotiomycetes,46SS
Histoplasma_capsulatum_47B,Histoplasma_capsulatum,47B,Eurotiomycetes,47B
Histoplasma_capsulatum_602-TD,Histoplasma_capsulatum,602-TD,Eurotiomycetes,602-TD
Histoplasma_capsulatum_811-ND,Histoplasma_capsulatum,811-ND,Eurotiomycetes,811-ND
Histoplasma_ohiensis_Hc1986,Histoplasma_ohiensis,Hc1986,Eurotiomycetes,Hc1986
Histoplasma_capsulatum_HcMV3,Histoplasma_capsulatum,HcMV3,Eurotiomycetes,HcMV3
Histoplasma_capsulatum_HcMZ5,Histoplasma_capsulatum,HcMZ5,Eurotiomycetes,HcMZ5
Histoplasma_capsulatum_HISSP-B05181-xx-CL-CIV-xxxx-036-BB,Histoplasma_capsulatum,HISSP-B05181-xx-CL-CIV-xxxx-036-BB,Eurotiomycetes,HISSP-B05181
Histoplasma_capsulatum_HISSP-CM5788-xx-CL-xxx-xxxx-036-BB,Histoplasma_capsulatum,HISSP-CM5788-xx-CL-xxx-xxxx-036-BB,Eurotiomycetes,HISSP-CM5788
Histoplasma_capsulatum_HISSP-CM7001-xx-CL-GNQ-xxxx-036-BB,Histoplasma_capsulatum,HISSP-CM7001-xx-CL-GNQ-xxxx-036-BB,Eurotiomycetes,HISSP-CM7001
Histoplasma_capsulatum_HISSP-CM7255-xx-CL-xxx-xxxx-036-BB,Histoplasma_capsulatum,HISSP-CM7255-xx-CL-xxx-xxxx-036-BB,Eurotiomycetes,HISSP-CM7255
Histoplasma_capsulatum_HISSP-CM7256-xx-CL-SEN-xxxx-036-BB,Histoplasma_capsulatum,HISSP-CM7256-xx-CL-SEN-xxxx-036-BB,Eurotiomycetes,HISSP-CM7256
Histoplasma_capsulatum_HISSP-CM7434-xx-CL-ZAF-xxxx-036-BB,Histoplasma_capsulatum,HISSP-CM7434-xx-CL-ZAF-xxxx-036-BB,Eurotiomycetes,HISSP-CM7434
Histoplasma_capsulatum_Histo-485P20,Histoplasma_capsulatum,Histo-485P20,Eurotiomycetes,Histo-485P20
Histoplasma_capsulatum_JB_00334-Hc_00334,Histoplasma_capsulatum,JB_00334-Hc_00334,Eurotiomycetes,JB_00334
Histoplasma_capsulatum_JB_01752-Hc_01752,Histoplasma_capsulatum,JB_01752-Hc_01752,Eurotiomycetes,JB_01752
Histoplasma_capsulatum_JB_021091-Hc_021091,Histoplasma_capsulatum,JB_021091-Hc_021091,Eurotiomycetes,JB_021091
Histoplasma_capsulatum_JB_031457-Hc_031457,Histoplasma_capsulatum,JB_031457-Hc_031457,Eurotiomycetes,JB_031457
Histoplasma_capsulatum_JB_031837-Hc_031837,Histoplasma_capsulatum,JB_031837-Hc_031837,Eurotiomycetes,JB_031837
Histoplasma_capsulatum_JB_031842-Hc_031842,Histoplasma_capsulatum,JB_031842-Hc_031842,Eurotiomycetes,JB_031842
Histoplasma_capsulatum_JB_042247-Hc_042247,Histoplasma_capsulatum,JB_042247-Hc_042247,Eurotiomycetes,JB_042247
Histoplasma_capsulatum_JB_042430-Hc_042430,Histoplasma_capsulatum,JB_042430-Hc_042430,Eurotiomycetes,JB_042430
Histoplasma_capsulatum_JB_042447-Hc_042447,Histoplasma_capsulatum,JB_042447-Hc_042447,Eurotiomycetes,JB_042447
Histoplasma_capsulatum_JB_062632-Hc_062632,Histoplasma_capsulatum,JB_062632-Hc_062632,Eurotiomycetes,JB_062632
Histoplasma_capsulatum_JB_062715-Hc_062715,Histoplasma_capsulatum,JB_062715-Hc_062715,Eurotiomycetes,JB_062715
Histoplasma_capsulatum_JB_062747-Hc_062747,Histoplasma_capsulatum,JB_062747-Hc_062747,Eurotiomycetes,JB_062747
