TE_Fam,Aspergillus_fumigatus_Af293,Blastomyces_parvus_UAMH130,Emmonsia_crescens_UAMH4076,Histoplasma_capsulatum_G184AR,Histoplasma_capsulatum_G186AR,Histoplasma_capsulatum_WU24,Histoplasma_capsulatum_var.duboisii_H88,Histoplasma_ohiense_G217B
DNA,0,0,0,0,0.58,0,0.13,0,0.08
DNA/Academ,0,0,0,0,0,0,1.52,0,0
DNA/Crypton,0,0,0,0,0,0.57,0.15,0,0.06
DNA/IS3EU,0,0,0,0,0.31,0,0,0,0
DNA/PIF-Harbinger,0,0,0,0,0,0,0.27,0,0
DNA/PiggyBac,0,0,0,0,0,0.06,0.69,0.17,0.03
DNA/TcMar-Ant1,0,0,0,0,0.27,0,0.27,0.11,0.06
DNA/TcMar-Fot1,0,0.52,0,0,0,0,1.07,0.25,0.03
DNA/TcMar-ISRm11,0,0,0,0,0,0.24,0.30,0,0
DNA/TcMar-Mariner,0,0,0,0,0,0,0,0.04,0
DNA/TcMar-Tc1,0,0,0,0,0.09,0,0.03,0.11,0.01
DNA/hAT-Ac,0,0,0,0,0,0,0,0,1.23
LINE/CRE-Ambal,0,0,0,0,0,0,0,0,0.21
LINE/I,0,0,0,0,0.31,0,0,0,0
LINE/L1,0,0,0,0,0.04,0,0,0.29,0
LINE/R2,0,0,0,0,0,0,0,0,0.05
LINE/Tad1,0,0,0,3.80,0,0.63,2.46,5.93,4.74
LTR/Copia,0,0,0.05,0.69,0.13,0.58,1.69,1.16,0.84
LTR/Gypsy,0,0.89,1.78,6.52,8.45,7.35,2.47,19.31,25.24
RC/Helitron,0,0,0,0,0,0,0.12,0,0.46
Unknown,0,0.02,0.36,3.05,2.08,1.11,4.60,2.22,1.19
tRNA,0,0.01,0,0,0,0,0,0,0
