class	Histoplasma capsulatum WGSS11	Histoplasma capsulatum WGSS14	Histoplasma capsulatum WGSS16	Histoplasma capsulatum CB053	Histoplasma capsulatum CB055	Histoplasma capsulatum CB062	Histoplasma capsulatum CB063	Histoplasma capsulatum CB064	Histoplasma capsulatum CB065	Histoplasma capsulatum CB066	Histoplasma capsulatum CB168	Histoplasma capsulatum CB174	Histoplasma capsulatum CB180	Histoplasma capsulatum CB186	Histoplasma capsulatum CB192	Histoplasma capsulatum ES2_83Z	Histoplasma capsulatum ES2_85Z	Histoplasma capsulatum ES2_86Z	Histoplasma capsulatum ES2_88Z	Histoplasma capsulatum ES2_89Z	Histoplasma capsulatum ES2_90Z	Histoplasma capsulatum 104_p_06	Histoplasma capsulatum 117_p_12	Histoplasma capsulatum 136_P_07	Histoplasma capsulatum 122_p_10B	Histoplasma capsulatum 144_p_08	Histoplasma capsulatum 1517_p_17	Histoplasma capsulatum 256_P_18	Histoplasma capsulatum 316_p_10	Histoplasma capsulatum 327_P_12	Histoplasma capsulatum 343_p_18	Histoplasma capsulatum 388_p_11	Histoplasma capsulatum 19VMG-15	Histoplasma capsulatum HCH143	Histoplasma capsulatum HISSP-11571	Histoplasma capsulatum HISSP-B05821	Histoplasma capsulatum HISSP-CM6408	Histoplasma capsulatum HISSP-FGBIK2051	Histoplasma capsulatum HISSP-FGBON2001	Histoplasma capsulatum HISSP-FGFAN2059	Histoplasma capsulatum HISSP-FGPERS2034	Histoplasma capsulatum HISSP-FGPIA2052	Histoplasma capsulatum HISSP-FGPIE2055	Histoplasma capsulatum Histo485P20	Histoplasma capsulatum JB_083285_2-Hc_083285_2	Histoplasma capsulatum 07-12-RJ	Histoplasma capsulatum SECH_100-G186A	Histoplasma capsulatum SECH_101-G184A	Histoplasma capsulatum SECH_102-505	Histoplasma capsulatum SECH_103-3_11G	Histoplasma capsulatum SECH_104-27_14	Histoplasma capsulatum SECH_105-21_14	Histoplasma capsulatum SECH_107-duboisii-B	Histoplasma capsulatum SECH_109	Histoplasma capsulatum SECH_110	Histoplasma mississippiense SECH_81-WU24	Histoplasma ohiense SECH_82-CI_4	Histoplasma mississippiense SECH_83-CI_7	Histoplasma mississippiense SECH_84-CI_19	Histoplasma mississippiense SECH_85-CI_22	Histoplasma mississippiense SECH_86-CI_24	Histoplasma mississippiense SECH_87-CI_42	Histoplasma mississippiense SECH_88-CI_43	Histoplasma mississippiense SECH_89-UCLA-531	Histoplasma mississippiense SECH_90-DOWNS	Histoplasma ohiense SECH_91-G217B	Histoplasma ohiense SECH_92-G222B	Histoplasma ohiense SECH_93-CI_6	Histoplasma ohiense SECH_94-CI_9	Histoplasma ohiense SECH_95-CI_10	Histoplasma ohiense SECH_96-CI_17	Histoplasma ohiense SECH_97-CI_18	Histoplasma ohiense SECH_98-CI_30	Histoplasma ohiense SECH_99-CI_35	Histoplasma capsulatum HISSP-CM6015	Histoplasma capsulatum HISSP-CM7256	Histoplasma capsulatum HISSP-FGAMA2041	Histoplasma capsulatum HISSP-FGFAR0189	Histoplasma capsulatum HISSP-FGFIN2028	Histoplasma capsulatum HISSP-FGJOS2044	Histoplasma capsulatum HISSP-FGPSO2043	Histoplasma capsulatum HISSP-FGTRO0285	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	Histoplasma capsulatum HISSP-1014-Belem3	Histoplasma capsulatum HISSP-FGFER2036	Histoplasma capsulatum HISSP-FGLIN2055	Histoplasma capsulatum JB_01752-Hc_01752	Histoplasma capsulatum JB_021091-Hc_021091	Histoplasma capsulatum JB_031837-Hc_031837	Histoplasma capsulatum JB_042430-Hc_042430	Histoplasma capsulatum JB_062632-Hc_062632	Histoplasma capsulatum JB_062775-Hc_062775	Histoplasma capsulatum JB_073129-Hc_073129	Histoplasma capsulatum HISSP-FGMAR2044	Histoplasma capsulatum SA15	Blastomyces parvus UAMH130
DNA/DTC	6.36E-04	2.87E-04	6.89E-04	0.001991752	7.48E-04	0.001637573	0.001660683	0.001648837	6.93E-04	0.001688507	0.001449198	0.001656233	0.001449624	0.001387766	0.002061417	0.001992432	0.020636205	0.008749048	0.001319726	0.01361781	0.008835234	6.41E-04	2.85E-04	2.88E-04	3.97E-04	6.50E-04	9.37E-05	2.85E-04	2.84E-04	2.86E-04	2.83E-04	2.85E-04	8.24E-05	6.70E-05	0.002575419	8.74E-04	0.002122993	1.85E-04	0.02102133	0.031369639	2.29E-04	0.002438936	0.023263954	8.11E-04	1.67E-04	0.001277395	1.05E-04	3.21E-04	2.93E-04	1.85E-04	0.003673325	0.00776343	0.00222235	1.03E-04	5.57E-04	4.91E-04	4.79E-04	0.001288346	5.93E-04	0.002080508	6.76E-04	6.11E-04	5.78E-04	6.58E-04	2.87E-04	0.001138177	0.001254736	1.72E-04	0.001504571	5.31E-04	0.002486949	0.003543551	5.54E-04	0.005536851	NA	0.035998866	9.99E-04	0.001890838	0.002281191	0.015859026	0.003078574	0.001987723	5.35E-04	0.035384098	1.39E-04	0.003527694	NA	4.43E-04	NA	1.71E-04	NA	NA	7.61E-05	0.001781126	0.011412934	2.59E-04
DNA/DTM	0.001588147	0.001465804	0.001351251	0.002072007	8.14E-04	4.00E-04	2.41E-04	0.001288835	3.99E-04	2.41E-04	2.40E-04	6.29E-04	2.42E-04	2.48E-04	2.16E-04	0.002655705	7.68E-04	0.002084772	0.017131582	5.14E-04	0.001605879	0.001511869	0.00323579	0.00401423	0.001958576	0.002735529	0.001872648	0.002661372	0.001760628	0.002904504	0.001697099	0.001555188	3.62E-04	0.001163177	0.008964188	2.17E-04	1.78E-04	3.00E-04	7.35E-04	0.007970699	3.28E-04	0.004473923	4.51E-04	0.001544016	1.58E-04	2.39E-04	0.003684459	3.63E-04	2.12E-04	4.02E-04	1.16E-04	0.007476458	0.003204261	2.54E-04	3.67E-04	2.06E-04	0.00529437	7.75E-04	6.99E-05	3.66E-04	7.78E-05	7.03E-05	7.43E-05	7.58E-05	1.26E-04	0.001684175	0.015334596	0.004901494	0.004591112	0.00726674	NA	3.25E-04	1.93E-04	6.91E-05	1.90E-04	0.127365235	0.010968216	8.39E-04	8.97E-04	0.006007821	5.26E-04	4.18E-04	0.023023972	0.014294298	5.04E-04	0.013675528	NA	2.54E-04	NA	NA	NA	6.94E-05	2.73E-04	0.001418951	0.002092844	2.53E-04
DNA/DTT	2.57E-05	2.61E-05	2.60E-05	NA	NA	NA	NA	NA	NA	NA	3.13E-04	NA	NA	7.13E-05	NA	NA	NA	NA	NA	NA	6.57E-05	2.81E-05	2.58E-05	2.59E-05	2.58E-05	2.82E-05	2.58E-05	2.59E-05	2.58E-05	2.60E-05	2.57E-05	2.58E-05	NA	1.17E-04	NA	NA	NA	0.004635354	1.31E-04	NA	NA	NA	1.00E-04	2.63E-05	NA	NA	NA	NA	9.72E-05	NA	NA	2.53E-05	1.62E-04	NA	1.39E-04	NA	4.04E-04	NA	NA	NA	NA	NA	NA	NA	NA	2.42E-04	2.39E-04	NA	1.45E-04	4.57E-04	4.24E-04	1.04E-04	4.92E-04	4.80E-04	NA	NA	NA	9.17E-05	NA	NA	NA	9.47E-05	NA	NA	NA	0.001845133	NA	NA	NA	NA	NA	NA	NA	2.17E-04	8.49E-05	9.95E-05
DNA/Helitron	0.002209652	0.002373931	0.001957062	0.001356094	0.001845832	0.004870931	0.004525863	0.003985272	5.87E-04	0.004677265	0.00470692	0.004464422	0.005255292	3.68E-04	0.003984689	0.001543262	0.00271374	0.001586346	0.015356282	0.003280452	0.030685604	0.002850373	0.002259733	0.003671096	0.001480004	0.002259423	0.002150517	0.002245975	0.002976988	0.001946454	0.001468925	0.002407082	NA	8.42E-04	3.14E-04	0.004523742	0.001401692	0.003617362	0.002411303	0.001252463	0.001258673	NA	0.004349543	0.002330798	1.07E-04	0.00234771	0.00135901	0.004201704	1.08E-04	NA	6.37E-04	0.004023668	1.42E-04	4.31E-04	0.006484271	1.15E-04	0.010053189	0.003899875	6.12E-04	0.003052089	6.81E-04	6.16E-04	6.51E-04	6.62E-04	1.22E-04	0.037332701	0.028784154	0.004697401	0.011561752	0.003419126	0.008148121	0.002506459	0.006351447	0.005313371	0.002506321	0.003645283	0.001570243	0.005552857	0.004518717	0.001258726	0.004783889	0.005089235	0.00163615	0.002003823	0.006440473	0.002616518	1.25E-04	1.85E-04	2.24E-04	1.72E-04	NA	1.89E-04	NA	0.008680955	0.03967096	NA
LTR/Copia	2.01E-04	1.82E-04	1.77E-04	NA	5.22E-04	NA	5.01E-04	NA	0.001430785	5.03E-04	NA	NA	NA	3.97E-04	NA	0.00861519	0.009357924	0.012345356	0.008177663	0.005146247	6.77E-04	2.17E-04	1.91E-04	1.79E-04	1.93E-04	1.97E-04	2.09E-04	1.98E-04	1.90E-04	1.77E-04	2.08E-04	2.31E-04	0.006528456	0.002648601	0.003303263	0.00372653	NA	0.002167111	0.014770742	NA	NA	4.77E-04	NA	1.95E-04	1.00E-04	NA	NA	NA	6.01E-05	7.43E-05	NA	0.001649028	0.008157892	NA	NA	NA	0.002849417	NA	NA	NA	NA	NA	NA	NA	5.70E-04	0.002142471	0.002321851	0.002052731	0.001609252	0.002994832	0.002833096	NA	1.81E-05	2.51E-04	0.004533006	1.20E-04	0.002462369	3.02E-05	3.45E-05	0.001944483	2.26E-05	3.31E-05	NA	0.00153	0.00184496	6.04E-04	4.62E-05	5.58E-05	1.07E-04	8.88E-05	5.75E-05	6.10E-05	5.69E-05	NA	8.74E-04	1.24E-05
LTR/Gypsy	3.82E-04	4.66E-04	4.09E-04	0.026614309	NA	0.003703895	0.00364745	0.004114795	0.004381648	0.003786401	0.004039191	0.003656729	0.003685038	0.003963901	0.004398779	0.061430365	0.011100558	0.008969648	0.121938713	0.080569374	0.039061112	4.31E-04	4.23E-04	4.10E-04	3.95E-04	4.25E-04	4.53E-04	4.63E-04	4.10E-04	4.38E-04	4.22E-04	4.19E-04	0.007414949	NA	0.083985105	0.153487856	0.016238457	0.094279076	0.009496615	0.090494887	0.003812624	0.029482293	0.08567355	4.43E-04	5.18E-04	0.011171004	0.052934454	0.034588082	4.11E-04	0.004080054	0.084749363	0.021628142	0.086015455	0.0031559	0.015480343	0.002976287	0.006383639	0.002856171	0.003826505	0.005273443	0.004240098	0.00385245	0.004072005	0.004154443	0.003149958	0.017920634	0.034721222	0.049327421	0.019884687	0.015211159	0.025787707	0.069723382	0.012806605	0.052580634	0.06320287	0.014048903	0.137506162	6.39E-05	5.40E-05	0.00597532	1.11E-04	4.89E-05	NA	8.96E-04	0.023974965	0.011530181	6.51E-04	6.32E-04	5.50E-04	9.03E-04	4.71E-05	2.57E-04	0.001196745	4.42E-04	0.050457285	3.57E-04
LTR/TRIM	2.79E-06	2.82E-06	2.82E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.81E-06	2.80E-06	2.80E-06	NA	2.82E-06	2.79E-06	2.80E-06	2.79E-06	NA	NA	2.80E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.85E-06	2.89E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.87E-06	2.96E-06	NA	3.16E-06	NA	NA	NA	NA
LTR/unknown	0.002302959	0.003348887	5.90E-04	0.013660903	0.015796544	0.016501692	0.013391201	0.00987724	0.011055679	0.014615157	0.007446127	0.01503236	0.012235689	0.009465071	0.012615262	0.151864399	0.170285821	0.198369637	0.152943284	0.114630943	0.155345269	0.002185322	0.002820154	7.46E-04	0.002267548	0.002414595	0.002312491	0.002642587	0.002975695	0.002727835	0.003037668	0.002718666	0.291646935	0.060651399	0.085085417	0.289383639	0.080814103	0.058257998	0.125992484	0.034162838	0.078049825	0.13972695	0.037031247	0.002021418	0.017087292	0.081170156	0.036984501	0.028794	0.005232199	0.155735885	0.050648248	0.084470145	0.161541542	0.013925857	0.045327336	0.012889234	0.100405115	0.013302678	0.011286638	0.01144705	0.012521129	0.011347976	0.011986091	0.01224811	0.011525513	0.074064705	0.068290949	0.022174648	0.038434081	0.036782415	0.077728694	0.032412664	0.051372338	0.030750759	0.14159965	0.160895622	0.030228713	1.75E-06	0.002048956	0.130786484	NA	1.81E-06	0.039161458	0.041039949	0.174425491	0.055602085	0.015710713	0.001752061	0.002618139	0.012946806	0.002646169	0.002717219	0.017758932	0.001868388	0.200667622	0.014113069
Low_complexity	0.003251337	0.003298863	0.003305066	0.003739778	0.003758129	0.003426541	0.003358531	0.003254966	0.003319978	0.003359166	0.003260896	0.003357668	0.003354223	0.003279391	0.003373456	0.00298572	0.00314962	0.002536975	0.003238917	0.002878349	0.003311609	0.003276384	0.003244361	0.003270703	0.003294903	0.003282268	0.003321999	0.003295804	0.003309453	0.003313906	0.00328554	0.003331825	0.002426634	0.004221207	0.003217427	0.002754025	0.003522262	0.003513047	0.003132122	0.003088727	0.003596339	0.003664061	0.003154892	0.003236654	0.0033011	0.004089602	0.00380592	0.003619902	0.002969782	0.003196277	0.00352648	0.003044669	0.002974521	0.003875366	0.004009038	0.003576529	NA	0.003430183	0.003429818	0.003495711	0.003822493	0.003454314	0.003648504	0.003719499	0.003517211	NA	NA	NA	0	NA	NA	NA	0+BV20	NA	0.00307633	0.001812566	0.003465783	0.00106135	0.001051042	0.003419613	0.001103963	9.65E-04	0.003461243	0.00302821	0.003321006	0.002106378	0.003067685	0.002384553	0.002927503	0.003271179	0.003302181	0.003140275	0.002615171	9.03E-04	0.004277779	0.003511761
MITE/DTM	1.48E-05	4.74E-04	3.12E-04	3.06E-04	1.71E-04	1.22E-04	2.14E-05	3.31E-05	1.73E-04	1.16E-04	1.57E-04	2.93E-05	4.67E-05	1.22E-04	1.45E-04	3.19E-05	1.07E-04	6.11E-04	2.78E-04	9.75E-05	2.06E-05	1.50E-05	8.72E-05	7.88E-05	1.49E-05	5.24E-04	7.83E-05	7.83E-05	7.80E-05	1.50E-05	8.53E-05	7.81E-05	1.14E-04	5.05E-04	1.85E-04	NA	1.72E-04	2.01E-04	1.39E-04	9.17E-05	8.75E-05	3.06E-04	4.20E-05	4.84E-04	2.45E-04	2.99E-04	NA	NA	1.05E-04	1.19E-04	4.06E-04	0.002579182	1.21E-04	4.90E-05	NA	1.66E-05	1.89E-05	2.67E-05	1.26E-04	2.16E-05	1.41E-04	1.27E-04	1.34E-04	1.37E-04	2.76E-05	8.79E-06	8.84E-06	1.11E-05	1.86E-05	3.42E-04	1.01E-05	9.31E-06	NA	2.85E-04	0.003340656	7.41E-04	2.74E-05	5.32E-05	2.15E-05	3.91E-04	5.32E-05	6.14E-05	1.10E-05	1.69E-04	NA	1.69E-04	9.94E-05	NA	1.16E-04	4.43E-04	NA	NA	NA	9.06E-06	2.66E-05	3.09E-06
