HistocapCB180_003540:003540-T1	HistocapCB180_003540:003540-T1
HistocapCB180_003540:003540-T1	HistomissWU24_03991
HistocapCB180_003540:003540-T1	HistomissSECH84_003403:003403-T1
HistocapCB180_003540:003540-T1	HistocapCB062_003542:003542-T1
HistocapCB180_003540:003540-T1	HistocapCB192_003560:003560-T1
HistocapCB180_003540:003540-T1	HistocapCB063_003628:003628-T1
HistocapCB180_003540:003540-T1	HistocapCB174_003486:003486-T1
HistocapCB180_003540:003540-T1	HistomissSECH88_003122:003122-T1
HistocapCB180_003540:003540-T1	HistocapCB064_003627:003627-T1
HistocapCB180_003540:003540-T1	HistocapCB168_003562:003562-T1
HistocapCB180_003540:003540-T1	HistocapCB066_003511:003511-T1
HistocapCB180_003540:003540-T1	HistomissSECH89_003180:003180-T1
HistocapCB180_003540:003540-T1	HistomissSECH102_008387:008387-T1
HistocapCB180_003540:003540-T1	HistomissSECH102_tyr2323
HistocapCB180_003540:003540-T1	HistomissSECH81_003299:003299-T1
HistocapCB180_003540:003540-T1	HistocapCB186_003662:003662-T1
HistocapCB180_003540:003540-T1	HistocapCB065_003537:003537-T1
HistocapWGSS16_tyr2273	HistocapWGSS16_tyr2273
HistocapWGSS16_tyr2273	HistocapG186AR_04979
HistocapWGSS16_tyr2273	HistocapSECH110_003710:003710-T1:003711:003711-T1
HistocapWGSS16_tyr2273	Histocap136P07_tyr224
HistocapWGSS16_tyr2273	HistocapJBHc062775_tyr1941
HistocapWGSS16_tyr2273	HistomissSECH81_tyr2401
HistocapWGSS16_tyr2273	HistocapHISSP1014_007179:007179-T1
HistocapWGSS16_tyr2273	HistocapES286Z_007196:007196-T1
HistocapWGSS16_tyr2273	HistoohiSECH91_007195:007195-T1:007196:007196-T1
HistocapWGSS16_tyr2273	HistoohiSECH94_tyr2876
HistocapWGSS16_tyr2273	HistocapCB065_tyr930
HistocapWGSS16_tyr2273	HistocapCB168_tyr1063
HistocapWGSS16_tyr2273	HistocapSA15_006099:006099-T1:006100:006100-T1
HistocapWGSS16_tyr2273	Histocap327P12_007293:007293-T1
HistocapWGSS16_tyr2273	HistocapHISSPFGPIE2055_tyr1782
HistocapWGSS16_tyr2273	HistocapWGSS11_tyr2178
HistocapWGSS16_tyr2273	HistocapNACVFRHC10700582_tyr2036
HistocapWGSS16_tyr2273	HistoohiSECH93_006029:006029-T1
HistocapWGSS16_tyr2273	HistocapCB053_005703:005703-T1
HistocapWGSS16_tyr2273	HistoohiSECH97_006851:006851-T1:006852:006852-T1
HistocapWGSS16_tyr2273	HistocapCB055_006145:006145-T1
HistocapWGSS16_tyr2273	HistocapHISSPFGJOS2044_000581:000581-T1:000582:000582-T1
HistocapWGSS16_tyr2273	HistocapHISSPFGFAN2059_005073:005073-T1:005074:005074-T1
HistocapWGSS16_tyr2273	HistocapCB064_tyr912
HistocapWGSS16_tyr2273	HistoohiSECH92_006985:006985-T1
HistocapWGSS16_tyr2273	HistocapH88_00993
HistocapWGSS16_tyr2273	HistocapJBHc042430_tyr1911
HistocapWGSS16_tyr2273	HistoohiSECH98_006370:006370-T1:006371:006371-T1
HistocapWGSS16_tyr2273	HistomissSECH88_006417:006417-T1
HistocapWGSS16_tyr2273	HistocapCB180_tyr1191
HistocapWGSS16_tyr2273	Histocap104p06_tyr33
HistocapWGSS16_tyr2273	HistocapHISSPFGAMA2041_003841:003841-T1:003842:003842-T1
HistocapWGSS16_tyr2273	HistomissSECH90_tyr2726
HistocapWGSS16_tyr2273	Histocap316p10_tyr469
HistocapWGSS16_tyr2273	HistocapHCH143_007265:007265-T1
HistocapWGSS16_tyr2273	HistomissSECH89_tyr2688
HistocapWGSS16_tyr2273	HistoohiG217B_04104:04105:04106
HistocapWGSS16_tyr2273	Histocap122p10B_007311:007311-T1
HistocapWGSS16_tyr2273	HistosurSECH103_004730:004730-T1
HistocapWGSS16_tyr2273	HistocapCB186_007279:007279-T1
HistocapWGSS16_tyr2273	HistocapWGSS14_007269:007269-T1
HistocapWGSS16_tyr2273	HistocapHISSPFGBON2001_006530:006530-T1:006531:006531-T1
HistocapWGSS16_tyr2273	Histocap485P20_tyr690
HistocapWGSS16_tyr2273	Histocap256P18_007410:007410-T1
HistocapWGSS16_tyr2273	HistoohiSECH95_006243:006243-T1:006244:006244-T1:006245:006245-T1
HistocapWGSS16_tyr2273	HistocapCB192_tyr1347
HistocapWGSS16_tyr2273	HistocapHISSPCM7256_005491:005491-T1
HistocapWGSS16_tyr2273	Histocap0712-RJ_tyr4
HistocapWGSS16_tyr2273	HistoohiSECH99_007460:007460-T1
