values	Histoplasma capsulatum 19VMG15	Histoplasma capsulatum HISSP-CM7256	Histoplasma capsulatum Histo-485P20	Histoplasma capsulatum JB_01752-Hc_01752	Histoplasma capsulatum JB_021091-Hc_021091	Histoplasma capsulatum JB_031837-Hc_031837	Histoplasma capsulatum JB_042430-Hc_042430	Histoplasma capsulatum JB_062632-Hc_062632	Histoplasma capsulatum JB_062775-Hc_062775	Histoplasma capsulatum JB_073129-Hc_073129	Histoplasma capsulatum JB_083285_2-Hc_083285_2	Histoplasma capsulatum senso_stricto SECH_100_H186AR	Histoplasma capsulatum senso_stricto SECH_101_H184AR	Histoplasma mississippiense SECH_102_Nam2_505	Histoplasma suramericanum SECH_103_3_11G	Histoplasma suramericanum SECH_104_27_14	Histoplasma suramericanum SECH_105_21_14	Histoplasma capsulatum Africa SECH_107-duboisii-B-H88	Histoplasma capsulatum SECH_109	Histoplasma capsulatum SECH_110	Histoplasma mississippiense SECH_81-Nam1_WU24	Histoplasma ohiense SECH_82-Nam1_CI_4	Histoplasma mississippiense SECH_83-Nam1_CI_7	Histoplasma mississippiense SECH_84-Nam1_CI_19	Histoplasma mississippiense SECH_85-Nam1_CI_22	Histoplasma mississippiense SECH_86-Nam1_CI_24	Histoplasma mississippiense SECH_87-Nam1_CI_42	Histoplasma mississippiense SECH_88-Nam1_CI_43	Histoplasma mississippiense SECH_89-Nam1_UCLA-531	Histoplasma mississippiense SECH_90-Nam1_DOWNS	Histoplasma ohiense SECH_91-Nam2_G217B	Histoplasma ohiense SECH_92-Nam2_G222B	Histoplasma ohiense SECH_93.Nam2_CI_6	Histoplasma ohiense SECH_94-Nam2_CI_9	Histoplasma ohiense SECH_95.Nam2_CI_10	Histoplasma ohiense SECH_96.Nam2_CI_17	Histoplasma ohiense SECH_97-Nam2_CI_18	Histoplasma ohiense SECH_98.Nam2_CI_30	Histoplasma ohiense SECH_99.Nam2_CI_35	Histoplasma capsulatum HCH143	Histoplasma capsulatum NACVFR_Histo_HC1070058	Histoplasma capsulatum HISSP-FGTRO0285	Histoplasma capsulatum HISSP-FGPSO2043	Histoplasma capsulatum HISSP-FGPIE2055	Histoplasma capsulatum HISSP-FGPIA2052	Histoplasma capsulatum HISSP-FGPERS2034	Histoplasma capsulatum HISSP-FGMAR2044	Histoplasma capsulatum HISSP-FGLIN2055	Histoplasma capsulatum HISSP-FGJOS2044	Histoplasma capsulatum HISSP-FGFIN2028	Histoplasma capsulatum HISSP-FGFER2036	Histoplasma capsulatum HISSP-FGFAR0189	Histoplasma capsulatum HISSP-FGFAN2059	Histoplasma capsulatum HISSP-FGBON2001	Histoplasma capsulatum HISSP-FGBIK2051	Histoplasma capsulatum HISSP-FGAMA2041	Histoplasma capsulatum HISSP-CM6408	Histoplasma capsulatum HISSP-CM6015	Histoplasma capsulatum HISSP-B05821	Histoplasma capsulatum HISSP-11571-Belem1	Histoplasma capsulatum HISSP-1014-Belem3	Histoplasma capsulatum 07_12-RJ	Histoplasma capsulatum 104_p_06	Histoplasma capsulatum 117_p_12	Histoplasma capsulatum 122_p_10_B	Histoplasma capsulatum 136_P_07	Histoplasma capsulatum 144_p_08	Histoplasma capsulatum 1517_p_17	Histoplasma capsulatum 256_P_18	Histoplasma capsulatum 316_p_10	Histoplasma capsulatum 327_P_12	Histoplasma capsulatum 343_p_18	Histoplasma capsulatum 388_p_11	Histoplasma capsulatum ES2_83Z	Histoplasma capsulatum ES2_85Z	Histoplasma capsulatum ES2_86Z	Histoplasma capsulatum ES2_88Z	Histoplasma capsulatum ES2_89Z	Histoplasma capsulatum ES2_90Z	Histoplasma capsulatum SA15	Histoplasma capsulatum CB053	Histoplasma capsulatum CB055	Histoplasma capsulatum CB062	Histoplasma capsulatum CB063	Histoplasma capsulatum CB064	Histoplasma capsulatum CB065	Histoplasma capsulatum CB066	Histoplasma capsulatum CB168	Histoplasma capsulatum CB174	Histoplasma capsulatum CB180	Histoplasma capsulatum CB186	Histoplasma capsulatum CB192	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S11	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S14	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S16	Blastomyces parvus UAMH130
Not RE	15.69	31	26.51	22.13	22.01	26.5	25.43	24.97	24.33	22.37	25.62	12.96	20.29	26.44	17.41	17.32	21.2	14.98	22.17	18.78	23.78	25.48	23.94	24.77	21.46	22.06	24.6	23.17	22.68	22.41	24.2	23.76	20.17	17.22	22.22	21.54	23.57	21.08	25.66	25.06	19.21	21.25	19.12	22.56	15.23	20.28	23.15	42.25	16.82	20.36	16.74	22.21	17.55	22.88	18.06	14.63	21.39	13.5	17.33	15.4	27.02	14.24	26.83	26.93	27.07	26.86	26.72	27.05	26.84	27	26.8	27.1	27	23.06	20.26	26.72	15.69	24.49	25.48	17.22	20.77	22.26	25.86	25.94	26.16	26.53	25.82	26.27	25.69	25.94	25.84	26.13	27.1	26.7	26.83	26.83
TE	9.71	24.37	0.67	0.77	0.31	0.49	0.86	0.5	0.47	0.74	0.94	1.84	2.07	0.68	4.02	3.6	4.1	6.69	0.99	1.97	0.99	4.7	1.16	1.03	1	1.03	1.03	1.03	1.03	0.92	4.94	0.45	2.69	2.39	2.49	3.77	3.84	2.35	3.35	2.59	1.89	0.33	0.32	0.49	4.12	2.5	0.53	5.02	4.07	0.35	5.26	0.34	4.4	6	4.35	4.1	3.14	4.77	17.43	4.51	3.63	2.02	0.69	0.73	0.66	0.73	0.76	0.68	0.74	0.71	0.73	0.7	0.68	0.86	6.84	10.32	8.75	8.47	9.45	9.45	1.55	0.91	1.46	1.35	1.23	1.22	1.4	1.2	1.43	1.37	1.09	1.38	0.67	0.74	0.64	0.93
Unknown RE	1.55	4.43	0.9	0.6	0.26	0.51	0.4	0.48	0.21	0.59	0.75	0.81	0.86	0.42	1.02	1.29	2.75	1.22	0.78	1.38	0.75	0.7	0.68	0.72	0.677	0.72	0.72	0.72	0.72	0.72	0.67	0.14	0.78	0.62	0.8	0.58	0.85	0.83	0.58	1.4	1.69	0.51	0.24	0.14	1.5	1.48	0.39	0.66	1.26	0.43	0.91	0.27	1.76	1.9	1.12	1.5	1.47	1.29	2.09	20.25	1.1	0.99	0.92	0.93	0.85	0.94	0.85	0.92	0.95	0.92	0.9	0.93	0.9	0.16	1.08	3.68	0.68	1.1	1.62	1.62	1.33	0.68	1.42	1.36	1.24	1.47	1.41	1.2	1.35	1.3	1.28	1.27	0.92	0.89	0.86	0.08
