id	group	length	boundary
HistocapCB053_s00002	hap0049	NA	NA
HistocapCB053_s00003	hap0046	NA	NA
HistocapCB053_s00004	hap0059	NA	NA
HistocapCB053_s00007	hap0060	NA	NA
HistocapCB053_s00010	hap0061	NA	NA
HistocapCB053_s00011	hap0050	NA	NA
HistocapCB053_s00012	hap0062	NA	NA
HistocapCB055_s00013	hap0095	NA	NA
HistocapCB055_s00014	hap0049	NA	NA
HistocapCB055_s00015	hap0046	NA	NA
HistocapCB055_s00016	hap0059	NA	NA
HistocapCB055_s00018	hap0060	NA	NA
HistocapCB055_s00019	hap0083	NA	NA
HistocapCB055_s00021	hap0050	NA	NA
HistocapCB055_s00022	hap0062	NA	NA
HistocapCB062_s00023	hap0007	NA	NA
HistocapCB062_s00024	hap0002	NA	NA
HistocapCB062_s00025	hap0003	NA	NA
HistocapCB062_s00026	hap0004	NA	NA
HistocapCB062_s00028	hap0084	NA	NA
HistocapCB062_s00029	hap0037	NA	NA
HistocapCB062_s00030	hap0096	NA	NA
HistocapCB062_s00031	hap0005	NA	NA
HistocapCB062_s00033	hap0022	NA	NA
HistocapCB062_s00034	hap0008	NA	NA
HistocapCB062_s00035	hap0009	NA	NA
HistocapCB062_s00036	hap0010	NA	NA
HistocapCB062_s00037	hap0011	NA	NA
HistocapCB062_s00038	hap0032	NA	NA
HistocapCB062_s00039	hap0012	NA	NA
HistocapCB062_s00040	hap0013	NA	NA
HistocapCB062_s00041	hap0029	NA	NA
HistocapCB062_s00043	hap0038	NA	NA
HistocapCB062_s00044	hap0026	NA	NA
HistocapCB062_s00045	hap0042	NA	NA
HistocapCB062_s00046	hap0030	NA	NA
HistocapCB062_s00047	hap0001	NA	NA
HistocapCB062_s00049	hap0033	NA	NA
HistocapCB062_s00050	hap0006	NA	NA
HistocapCB063_s00088	hap0007	NA	NA
HistocapCB063_s00089	hap0002	NA	NA
HistocapCB063_s00090	hap0034	NA	NA
HistocapCB063_s00091	hap0003	NA	NA
HistocapCB063_s00092	hap0004	NA	NA
HistocapCB063_s00094	hap0084	NA	NA
HistocapCB063_s00095	hap0037	NA	NA
HistocapCB063_s00096	hap0005	NA	NA
HistocapCB063_s00097	hap0022	NA	NA
HistocapCB063_s00098	hap0008	NA	NA
HistocapCB063_s00099	hap0009	NA	NA
HistocapCB063_s00100	hap0010	NA	NA
HistocapCB063_s00101	hap0043	NA	NA
HistocapCB063_s00102	hap0097	NA	NA
HistocapCB063_s00103	hap0044	NA	NA
HistocapCB063_s00104	hap0032	NA	NA
HistocapCB063_s00105	hap0012	NA	NA
HistocapCB063_s00106	hap0029	NA	NA
HistocapCB063_s00107	hap0038	NA	NA
HistocapCB063_s00108	hap0042	NA	NA
HistocapCB063_s00109	hap0030	NA	NA
HistocapCB063_s00110	hap0085	NA	NA
HistocapCB063_s00111	hap0001	NA	NA
HistocapCB063_s00113	hap0006	NA	NA
HistocapCB064_s00153	hap0007	NA	NA
HistocapCB064_s00154	hap0002	NA	NA
HistocapCB064_s00155	hap0003	NA	NA
HistocapCB064_s00156	hap0004	NA	NA
HistocapCB064_s00159	hap0037	NA	NA
HistocapCB064_s00160	hap0072	NA	NA
HistocapCB064_s00161	hap0005	NA	NA
HistocapCB064_s00162	hap0022	NA	NA
HistocapCB064_s00163	hap0008	NA	NA
HistocapCB064_s00164	hap0009	NA	NA
HistocapCB064_s00165	hap0010	NA	NA
HistocapCB064_s00166	hap0011	NA	NA
HistocapCB064_s00167	hap0043	NA	NA
HistocapCB064_s00168	hap0044	NA	NA
HistocapCB064_s00169	hap0032	NA	NA
HistocapCB064_s00170	hap0012	NA	NA
HistocapCB064_s00171	hap0051	NA	NA
HistocapCB064_s00172	hap0013	NA	NA
HistocapCB064_s00173	hap0029	NA	NA
HistocapCB064_s00174	hap0051	NA	NA
HistocapCB064_s00175	hap0038	NA	NA
HistocapCB064_s00176	hap0026	NA	NA
HistocapCB064_s00177	hap0030	NA	NA
HistocapCB064_s00178	hap0073	NA	NA
HistocapCB064_s00179	hap0001	NA	NA
HistocapCB064_s00180	hap0001	NA	NA
HistocapCB064_s00181	hap0033	NA	NA
HistocapCB064_s00182	hap0006	NA	NA
HistocapCB065_s00220	hap0007	NA	NA
HistocapCB065_s00221	hap0002	NA	NA
HistocapCB065_s00222	hap0034	NA	NA
HistocapCB065_s00223	hap0003	NA	NA
HistocapCB065_s00224	hap0004	NA	NA
HistocapCB065_s00226	hap0037	NA	NA
HistocapCB065_s00227	hap0005	NA	NA
HistocapCB065_s00229	hap0022	NA	NA
HistocapCB065_s00230	hap0008	NA	NA
HistocapCB065_s00231	hap0009	NA	NA
HistocapCB065_s00232	hap0010	NA	NA
HistocapCB065_s00233	hap0044	NA	NA
HistocapCB065_s00234	hap0032	NA	NA
HistocapCB065_s00235	hap0012	NA	NA
HistocapCB065_s00236	hap0038	NA	NA
HistocapCB065_s00237	hap0026	NA	NA
HistocapCB065_s00238	hap0098	NA	NA
HistocapCB065_s00239	hap0030	NA	NA
HistocapCB065_s00240	hap0001	NA	NA
HistocapCB065_s00241	hap0039	NA	NA
HistocapCB065_s00243	hap0006	NA	NA
HistocapCB066_s00284	hap0007	NA	NA
HistocapCB066_s00285	hap0002	NA	NA
HistocapCB066_s00286	hap0034	NA	NA
HistocapCB066_s00287	hap0003	NA	NA
HistocapCB066_s00288	hap0004	NA	NA
HistocapCB066_s00290	hap0084	NA	NA
HistocapCB066_s00291	hap0005	NA	NA
HistocapCB066_s00293	hap0022	NA	NA
HistocapCB066_s00294	hap0008	NA	NA
HistocapCB066_s00295	hap0009	NA	NA
HistocapCB066_s00296	hap0010	NA	NA
HistocapCB066_s00297	hap0063	NA	NA
HistocapCB066_s00298	hap0032	NA	NA
HistocapCB066_s00299	hap0012	NA	NA
HistocapCB066_s00300	hap0029	NA	NA
HistocapCB066_s00301	hap0038	NA	NA
HistocapCB066_s00302	hap0026	NA	NA
HistocapCB066_s00303	hap0042	NA	NA
HistocapCB066_s00305	hap0001	NA	NA
HistocapCB066_s00307	hap0033	NA	NA
HistocapCB066_s00308	hap0006	NA	NA
HistocapCB066_s00309	hap0099	NA	NA
HistocapCB168_s00344	hap0003	NA	NA
HistocapCB168_s00345	hap0004	NA	NA
HistocapCB168_s00347	hap0037	NA	NA
HistocapCB168_s00348	hap0096	NA	NA
HistocapCB168_s00349	hap0005	NA	NA
HistocapCB168_s00350	hap0022	NA	NA
HistocapCB168_s00351	hap0008	NA	NA
HistocapCB168_s00352	hap0010	NA	NA
HistocapCB168_s00353	hap0043	NA	NA
HistocapCB168_s00354	hap0044	NA	NA
HistocapCB168_s00355	hap0032	NA	NA
HistocapCB168_s00356	hap0051	NA	NA
HistocapCB168_s00357	hap0013	NA	NA
HistocapCB168_s00358	hap0029	NA	NA
HistocapCB168_s00359	hap0026	NA	NA
HistocapCB168_s00360	hap0030	NA	NA
HistocapCB168_s00361	hap0001	NA	NA
HistocapCB168_s00362	hap0009	NA	NA
HistocapCB168_s00364	hap0033	NA	NA
HistocapCB168_s00365	hap0006	NA	NA
HistocapCB174_s00400	hap0007	NA	NA
HistocapCB174_s00401	hap0002	NA	NA
HistocapCB174_s00402	hap0034	NA	NA
HistocapCB174_s00403	hap0003	NA	NA
HistocapCB174_s00404	hap0086	NA	NA
HistocapCB174_s00407	hap0022	NA	NA
HistocapCB174_s00408	hap0008	NA	NA
HistocapCB174_s00409	hap0009	NA	NA
HistocapCB174_s00410	hap0010	NA	NA
HistocapCB174_s00411	hap0011	NA	NA
HistocapCB174_s00412	hap0043	NA	NA
HistocapCB174_s00413	hap0032	NA	NA
HistocapCB174_s00415	hap0005	NA	NA
HistocapCB174_s00416	hap0026	NA	NA
HistocapCB174_s00417	hap0098	NA	NA
HistocapCB174_s00418	hap0030	NA	NA
HistocapCB174_s00419	hap0001	NA	NA
HistocapCB174_s00420	hap0042	NA	NA
HistocapCB174_s00422	hap0033	NA	NA
HistocapCB174_s00423	hap0006	NA	NA
HistocapCB180_s00464	hap0011	NA	NA
HistocapCB180_s00465	hap0007	NA	NA
HistocapCB180_s00466	hap0002	NA	NA
HistocapCB180_s00467	hap0034	NA	NA
HistocapCB180_s00468	hap0003	NA	NA
HistocapCB180_s00469	hap0004	NA	NA
HistocapCB180_s00471	hap0038	NA	NA
HistocapCB180_s00472	hap0037	NA	NA
HistocapCB180_s00473	hap0005	NA	NA
HistocapCB180_s00474	hap0022	NA	NA
HistocapCB180_s00475	hap0008	NA	NA
HistocapCB180_s00476	hap0009	NA	NA
HistocapCB180_s00477	hap0010	NA	NA
HistocapCB180_s00478	hap0043	NA	NA
HistocapCB180_s00479	hap0063	NA	NA
HistocapCB180_s00480	hap0044	NA	NA
HistocapCB180_s00482	hap0012	NA	NA
HistocapCB180_s00483	hap0013	NA	NA
HistocapCB180_s00484	hap0029	NA	NA
HistocapCB180_s00485	hap0026	NA	NA
HistocapCB180_s00486	hap0042	NA	NA
HistocapCB180_s00487	hap0001	NA	NA
HistocapCB180_s00489	hap0033	NA	NA
HistocapCB180_s00490	hap0006	NA	NA
HistocapCB186_s00525	hap0007	NA	NA
HistocapCB186_s00526	hap0002	NA	NA
HistocapCB186_s00527	hap0003	NA	NA
HistocapCB186_s00528	hap0004	NA	NA
HistocapCB186_s00530	hap0037	NA	NA
HistocapCB186_s00531	hap0005	NA	NA
HistocapCB186_s00532	hap0022	NA	NA
HistocapCB186_s00533	hap0008	NA	NA
HistocapCB186_s00534	hap0043	NA	NA
HistocapCB186_s00535	hap0044	NA	NA
HistocapCB186_s00538	hap0026	NA	NA
HistocapCB186_s00540	hap0001	NA	NA
HistocapCB186_s00542	hap0006	NA	NA
HistocapCB192_s00588	hap0007	NA	NA
HistocapCB192_s00589	hap0002	NA	NA
HistocapCB192_s00590	hap0011	NA	NA
HistocapCB192_s00591	hap0003	NA	NA
HistocapCB192_s00592	hap0004	NA	NA
HistocapCB192_s00594	hap0064	NA	NA
HistocapCB192_s00595	hap0037	NA	NA
HistocapCB192_s00596	hap0072	NA	NA
HistocapCB192_s00597	hap0005	NA	NA
HistocapCB192_s00598	hap0022	NA	NA
HistocapCB192_s00599	hap0008	NA	NA
HistocapCB192_s00600	hap0009	NA	NA
HistocapCB192_s00601	hap0010	NA	NA
HistocapCB192_s00602	hap0043	NA	NA
HistocapCB192_s00603	hap0044	NA	NA
HistocapCB192_s00604	hap0032	NA	NA
HistocapCB192_s00605	hap0012	NA	NA
HistocapCB192_s00606	hap0013	NA	NA
HistocapCB192_s00607	hap0100	NA	NA
HistocapCB192_s00608	hap0029	NA	NA
HistocapCB192_s00609	hap0038	NA	NA
HistocapCB192_s00610	hap0026	NA	NA
HistocapCB192_s00611	hap0042	NA	NA
HistocapCB192_s00613	hap0085	NA	NA
HistocapCB192_s00614	hap0001	NA	NA
HistocapCB192_s00616	hap0033	NA	NA
HistocapCB192_s00617	hap0006	NA	NA
HistocapCB192_s00618	hap0099	NA	NA
HistocapES283Z_s00651	hap0065	NA	NA
HistocapES283Z_s00652	hap0101	NA	NA
HistocapES283Z_s00654	hap0052	NA	NA
HistocapES283Z_s00656	hap0102	NA	NA
HistocapES283Z_s00658	hap0103	NA	NA
HistocapES285Z_s00673	hap0065	NA	NA
HistocapES285Z_s00674	hap0052	NA	NA
HistocapES285Z_s00675	hap0087	NA	NA
HistocapES285Z_s00677	hap0103	NA	NA
HistocapES285Z_s00679	hap0104	NA	NA
HistocapES286Z_s00692	hap0065	NA	NA
HistocapES286Z_s00696	hap0074	NA	NA
HistocapES286Z_s00697	hap0052	NA	NA
HistocapES286Z_s00698	hap0087	NA	NA
HistocapES288Z_s00773	hap0052	NA	NA
HistocapES288Z_s00774	hap0087	NA	NA
HistocapES290Z_s00800	hap0102	NA	NA
HistocapES290Z_s00805	hap0052	NA	NA
HistocapG184AR_s00829	hap0046	NA	NA
HistocapG184AR_s00830	hap0059	NA	NA
HistocapG184AR_s00831	hap0105	NA	NA
HistocapG184AR_s00832	hap0062	NA	NA
HistocapG184AR_s00834	hap0049	NA	NA
HistocapG184AR_s00835	hap0083	NA	NA
HistocapG184AR_s00837	hap0088	NA	NA
HistocapG184AR_s00838	hap0061	NA	NA
HistocapG184AR_s00839	hap0050	NA	NA
HistocapG184AR_s00840	hap0060	NA	NA
HistocapG186AR_s00843	hap0049	NA	NA
HistocapG186AR_s00844	hap0046	NA	NA
HistocapG186AR_s00845	hap0059	NA	NA
HistocapG186AR_s00846	hap0105	NA	NA
HistocapG186AR_s00848	hap0060	NA	NA
HistocapG186AR_s00849	hap0083	NA	NA
HistocapG186AR_s00851	hap0088	NA	NA
HistocapG186AR_s00852	hap0061	NA	NA
HistocapG186AR_s00853	hap0050	NA	NA
HistocapG186AR_s00854	hap0062	NA	NA
HistocapHCH143_s00856	hap0065	NA	NA
HistocapHCH143_s00858	hap0074	NA	NA
HistocapHCH143_s00860	hap0089	NA	NA
