Histoplasma.Isolates	Starfish.Length	Genome.Length	Percentage
Histoplasma_capsulatum_19VMG-15	0	0	0
Histoplasma_capsulatum_HISSP-CM7256	0	0	0
Histoplasma_capsulatum_Histo-485P20	1363838	28091669	0.048549554
Histoplasma_capsulatum_JB_01752-Hc_01752	0	0	0
Histoplasma_capsulatum_JB_021091-Hc_021091	0	0	0
Histoplasma_capsulatum_JB_031837-Hc_031837	0	0	0
Histoplasma_capsulatum_JB_042430-Hc_042430	0	0	0
Histoplasma_capsulatum_JB_062632-Hc_062632	0	0	0
Histoplasma_capsulatum_JB_062775-Hc_062775	0	0	0
Histoplasma_capsulatum_JB_073129-Hc_073129	0	0	0
Histoplasma_capsulatum_JB_083285_2-Hc_083285_2	0	0	0
Histoplasma_capsulatum_SECH_100-Nam2_G186A	0	0	0
Histoplasma_capsulatum_SECH_101-Nam2_G184A	208259	23224387	0.008967255
Histoplasma_mississippiense_SECH_102Nam2_505	139979	27544444	0.005081932
Histoplasma_suramericanum_SECH_103-Nam2_3_11G	114995	22453624	0.005121445
Histoplasma_suramericanum_SECH_104-Nam2_27_14	34929	22213937	0.001572391
Histoplasma_suramericanum_SECH_105-Nam2_21_14	0	0	0
Histoplasma_capsulatum_SECH_107-mis_Hc_duboisii-B	158554	22891084	0.006926452
Histoplasma_capsulatum_SECH_109	0	0	0
Histoplasma_capsulatum_SECH_110	0	0	0
Histoplasma_mississippiense_SECH_81-Nam1_WU24	704033	25518040	0.027589619
Histoplasma_ohiense_SECH_82-Nam1_CI_4	242709	30880349	0.007859659
Histoplasma_mississippiense_SECH_83-Nam1_CI_7	525326	25776464	0.020380065
Histoplasma_mississippiense_SECH_84-Nam1_CI_19	772797	26524728	0.029134964
Histoplasma_mississippiense_SECH_85-Nam1_CI_22	589930	23145789	0.025487574
Histoplasma_mississippiense_SECH_86-Nam1_CI_24	509241	23809594	0.021388059
Histoplasma_mississippiense_SECH_87-Nam1_CI_42	761689	26345314	0.028911745
Histoplasma_mississippiense_SECH_88-Nam1_CI_43	685542	24925558	0.027503577
Histoplasma_mississippiense_SECH_89-Nam1_UCLA-531	801219	24430709	0.032795569
Histoplasma_mississippiense_SECH_90-Nam1_DOWNS	507763	24054288	0.021109043
Histoplasma_ohiense_SECH_91-Nam2_G217B	197172	29816969	0.006612745
Histoplasma_ohiense_SECH_92-Nam2_G222B	20990	29639711	0.000708172
Histoplasma_ohiense_SECH_93.Nam2_CI_6	23075	23646057	0.00097585
Histoplasma_ohiense_SECH_94-Nam2_CI_9	0	0	0
Histoplasma_ohiense_SECH_95.Nam2_CI_10	0	0	0
Histoplasma_ohiense_SECH_96.Nam2_CI_17	52477	25893578	0.002026642
Histoplasma_ohiense_SECH_97-Nam2_CI_18	20739	28259788	0.00073387
Histoplasma_ohiense_SECH_98.Nam2_CI_30	56278	24259982	0.002319787
Histoplasma_ohiense_SECH_99-Nam2_CI_35	21208	29591009	0.000716704
Histoplasma_capsulatum_HCH143	223150	29042875	0.007683468
Histoplasma_capsulatum_NACVFR_Histo_HC1070058	26854	22694737	0.00118327
Histoplasma_capsulatum_HISSP-FGTRO0285	0	0	0
Histoplasma_capsulatum_HISSP-FGPSO2043	0	0	0
Histoplasma_capsulatum_HISSP-FGPIE2055	0	0	0
Histoplasma_capsulatum_HISSP-FGPIA2052	26577	20859097	0.00127412
Histoplasma_capsulatum_HISSP-FGPERS2034	0	0	0
