class	variable	value
DNA/DTA	Histoplasma capsulatum 19VMG15	0
DNA/DTC	Histoplasma capsulatum 19VMG15	8.24e-5
DNA/DTH	Histoplasma capsulatum 19VMG15	0.013040551
DNA/DTM	Histoplasma capsulatum 19VMG15	3.62e-4
DNA/DTT	Histoplasma capsulatum 19VMG15	0
DNA/Helitron	Histoplasma capsulatum 19VMG15	0
LINE/unknown	Histoplasma capsulatum 19VMG15	0.040391471
LTR/Copia	Histoplasma capsulatum 19VMG15	0.006528456
LTR/Gypsy	Histoplasma capsulatum 19VMG15	0.007414949
LTR/unknown	Histoplasma capsulatum 19VMG15	0.291646935
Low_complexity	Histoplasma capsulatum 19VMG15	0.002426634
MITE/DTM	Histoplasma capsulatum 19VMG15	1.14e-4
Simple_repeat	Histoplasma capsulatum 19VMG15	0.00991508
TIR/Tc1_Mariner	Histoplasma capsulatum 19VMG15	0
Unknown	Histoplasma capsulatum 19VMG15	0.057531766
MITE/DTC	Histoplasma capsulatum 19VMG15	4.46e-4
MITE/DTH	Histoplasma capsulatum 19VMG15	0
MITE/DTT	Histoplasma capsulatum 19VMG15	0.001070329
LTR/TRIM	Histoplasma capsulatum 19VMG15	0
TIR/PiggyBac	Histoplasma capsulatum 19VMG15	0
LTR/Copia_1	Histoplasma capsulatum 19VMG15	0
LTR/Copia_2	Histoplasma capsulatum 19VMG15	0
LTR/Copia_4	Histoplasma capsulatum 19VMG15	0
LTR/Gypsy_1	Histoplasma capsulatum 19VMG15	0
LTR/Gypsy_2	Histoplasma capsulatum 19VMG15	0
LTR/Gypsy_3	Histoplasma capsulatum 19VMG15	0
DNAauto/Helitron	Histoplasma capsulatum 19VMG15	0
DNAnona/Helitron	Histoplasma capsulatum 19VMG15	0
LTR/Solo	Histoplasma capsulatum 19VMG15	0
MITE/DTA	Histoplasma capsulatum 19VMG15	0
Satellite	Histoplasma capsulatum 19VMG15	0
DNA/DTA	Histoplasma capsulatum HISSP-CM7256	1.44e-5
DNA/DTC	Histoplasma capsulatum HISSP-CM7256	0.036
DNA/DTH	Histoplasma capsulatum HISSP-CM7256	0
DNA/DTM	Histoplasma capsulatum HISSP-CM7256	0.127365235
DNA/DTT	Histoplasma capsulatum HISSP-CM7256	0
DNA/Helitron	Histoplasma capsulatum HISSP-CM7256	0.003645283
LINE/unknown	Histoplasma capsulatum HISSP-CM7256	0.021021965
LTR/Copia	Histoplasma capsulatum HISSP-CM7256	1.2e-4
LTR/Gypsy	Histoplasma capsulatum HISSP-CM7256	0.014
LTR/unknown	Histoplasma capsulatum HISSP-CM7256	0.160895622
Low_complexity	Histoplasma capsulatum HISSP-CM7256	0.001812566
MITE/DTM	Histoplasma capsulatum HISSP-CM7256	7.41e-4
Simple_repeat	Histoplasma capsulatum HISSP-CM7256	0.007206282
TIR/Tc1_Mariner	Histoplasma capsulatum HISSP-CM7256	0.00134
Unknown	Histoplasma capsulatum HISSP-CM7256	0.074104641
MITE/DTC	Histoplasma capsulatum HISSP-CM7256	0.021572305
MITE/DTH	Histoplasma capsulatum HISSP-CM7256	0
MITE/DTT	Histoplasma capsulatum HISSP-CM7256	0
LTR/TRIM	Histoplasma capsulatum HISSP-CM7256	0
TIR/PiggyBac	Histoplasma capsulatum HISSP-CM7256	0
LTR/Copia_1	Histoplasma capsulatum HISSP-CM7256	0
LTR/Copia_2	Histoplasma capsulatum HISSP-CM7256	0
LTR/Copia_4	Histoplasma capsulatum HISSP-CM7256	0
LTR/Gypsy_1	Histoplasma capsulatum HISSP-CM7256	0
LTR/Gypsy_2	Histoplasma capsulatum HISSP-CM7256	0
LTR/Gypsy_3	Histoplasma capsulatum HISSP-CM7256	0
DNAauto/Helitron	Histoplasma capsulatum HISSP-CM7256	0
DNAnona/Helitron	Histoplasma capsulatum HISSP-CM7256	0
