class	Histoplasma capsulatum 19VMG15	Histoplasma capsulatum HISSP-CM7256	Histoplasma capsulatum Histo-485P20	Histoplasma capsulatum JB_01752-Hc_01752	Histoplasma capsulatum JB_021091-Hc_021091	Histoplasma capsulatum JB_031837-Hc_031837	Histoplasma capsulatum JB_042430-Hc_042430	Histoplasma capsulatum JB_062632-Hc_062632	Histoplasma capsulatum JB_062775-Hc_062775	Histoplasma capsulatum JB_073129-Hc_073129	Histoplasma capsulatum JB_083285_2-Hc_083285_2	Histoplasma capsulatum SECH_100-G186A	Histoplasma capsulatum senso_stricto SECH_101_G184AR	Histoplasma mississippiense SECH_102-505	Histoplasma capsulatum SECH_103-3_11G	Histoplasma capsulatum SECH_104-27_14	Histoplasma capsulatumSECH_105-21_14	Histoplasma capsulatum SECH_107-duboisii-B	Histoplasma capsulatum SECH_109	Histoplasma capsulatum SECH_110	Histoplasma mississippiense SECH_81-WU24	Histoplasma mississippiense SECH_83-CI_7	Histoplasma mississippiense SECH_84-CI_19	Histoplasma mississippiense SECH_85-CI_22	Histoplasma mississippiense SECH_86-CI_24	Histoplasma mississippiense SECH_87-CI_42	Histoplasma mississippiense SECH_88-CI_43	Histoplasma mississippiense SECH_89-UCLA-531	Histoplasma mississippiense SECH_90-DOWNS	Histoplasma ohiense SECH_82-CI_4	Histoplasma ohiense SECH_91-G217B	Histoplasma ohiense SECH_92-G222B	Histoplasma ohiense SECH_93-CI_6	Histoplasma ohiense SECH_94-CI_9	Histoplasma ohiense SECH_95-CI_10	Histoplasma ohiense SECH_96-CI_17	Histoplasma ohiense SECH_97-CI_18	Histoplasma ohiense SECH_98-CI_30	Histoplasma ohiense SECH_99-CI_35	Histoplasma capsulatum HCH143	Histoplasma capsulatum NACVFR_Histo_HC1070058	Histoplasma capsulatum HISSP-FGTRO0285	Histoplasma capsulatum HISSP-FGPSO2043	Histoplasma capsulatum HISSP-FGPIE2055	Histoplasma capsulatum HISSP-FGPIA2052	Histoplasma capsulatum HISSP-FGPERS2034	Histoplasma capsulatum HISSP-FGMAR2044	Histoplasma capsulatum HISSP-FGLIN2055	Histoplasma capsulatum HISSP-FGJOS2044	Histoplasma capsulatum HISSP-FGFIN2028	Histoplasma capsulatum HISSP-FGFER2036	Histoplasma capsulatum HISSP-FGFAR0189	Histoplasma capsulatum HISSP-FGFAN2059	Histoplasma capsulatum HISSP-FGBON2001	Histoplasma capsulatum HISSP-FGBIK2051	Histoplasma capsulatum HISSP-FGAMA2041	Histoplasma capsulatum HISSP-CM6408	Histoplasma capsulatum HISSP-CM6015	Histoplasma capsulatum HISSP-B05821	Histoplasma capsulatum HISSP-11571-Belem1	Histoplasma capsulatum HISSP-1014-Belem3	Histoplasma capsulatum 07_12-RJ	Histoplasma capsulatum 104_p_06	Histoplasma capsulatum 117_p_12	Histoplasma capsulatum 122_p_10_B	Histoplasma capsulatum 136_P_07	Histoplasma capsulatum 144_p_08	Histoplasma capsulatum 1517_p_17	Histoplasma capsulatum 256_P_18	Histoplasma capsulatum 316_p_10	Histoplasma capsulatum 327_P_12	Histoplasma capsulatum 343_p_18	Histoplasma capsulatum 388_p_11	Histoplasma capsulatum ES2_83Z	Histoplasma capsulatum ES2_85Z	Histoplasma capsulatum ES2_86Z	Histoplasma capsulatum ES2_88Z	Histoplasma capsulatum ES2_89Z	Histoplasma capsulatum ES2_90Z	Histoplasma capsulatum SA15	Histoplasma capsulatum CB053	Histoplasma capsulatum CB055	Histoplasma capsulatum CB062	Histoplasma capsulatum CB063	Histoplasma capsulatum CB064	Histoplasma capsulatum CB065	Histoplasma capsulatum CB066	Histoplasma capsulatum CB168	Histoplasma capsulatum CB174	Histoplasma capsulatum CB180	Histoplasma capsulatum CB186	Histoplasma capsulatum CB192	Histoplasma capsulatum WGS_S11	Histoplasma capsulatum WGS_S14	Histoplasma capsulatum WGS_S16	Blastomyces parvus UAMH130
DNA/DTA	NA	1.44E-05	NA	NA	NA	NA	NA	NA	NA	5.30E-04	NA	NA	NA	NA	NA	NA	3.55E-04	NA	1.67E-04	NA	1.56E-04	1.55E-04	1.51E-04	1.73E-04	1.68E-04	1.52E-04	1.60E-04	1.64E-04	1.62E-04	1.53E-04	4.20E-04	3.84E-04	NA	0.009232143	NA	NA	NA	NA	NA	1.14E-04	NA	NA	NA	NA	1.54E-04	NA	NA	8.45E-05	7.65E-04	NA	NA	NA	NA	1.55E-04	NA	NA	NA	NA	NA	NA	0.002148634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.79E-05	NA	NA	3.14E-04	NA	7.29E-04	NA	1.39E-04	1.27E-04	1.35E-04	1.36E-04	1.39E-04	1.29E-04	1.49E-04	1.42E-04	1.25E-04	1.50E-04	NA	NA	NA	NA
DNA/DTC	8.24E-05	3.60E-02	8.11E-04	NA	4.43E-04	NA	1.71E-04	NA	NA	7.61E-05	1.67E-04	1.05E-04	3.21E-04	2.93E-04	1.85E-04	3.67E-03	7.76E-03	2.22E-03	1.03E-04	5.57E-04	5.03E-04	1.30E-03	6.06E-04	2.14E-03	6.76E-04	6.11E-04	6.45E-04	6.58E-04	2.87E-04	4.79E-04	0.001138177	0.001254736	1.72E-04	0.001504571	5.31E-04	0.002486949	0.003543551	5.92E-04	0.005536851	6.70E-05	5.35E-04	0.001987723	0.003078574	0.023263954	0.002438936	2.29E-04	0.001781126	0.003527694	0.015859026	0.002281191	1.39E-04	0.001890838	0.031369639	0.02102133	1.85E-04	9.99E-04	0.002122993	NA	8.74E-04	0.002575419	0.035384098	0.001277395	6.41E-04	2.85E-04	3.97E-04	2.88E-04	6.50E-04	9.37E-05	2.85E-04	2.84E-04	2.86E-04	2.83E-04	2.85E-04	0.001992432	0.020636205	0.008749048	0.001319726	0.01361781	0.008835234	0.00156041	0.001991752	7.48E-04	0.001649752	0.001664207	0.001664622	7.46E-04	0.001697658	0.001457883	0.001668526	0.001458782	0.001387766	0.002070069	6.36E-04	2.87E-04	6.89E-04	2.59E-04
DNA/DTH	0.013040551	NA	1.81E-04	1.81E-04	NA	NA	NA	NA	NA	NA	NA	3.01E-03	NA	0.001274353	1.81E-04	NA	1.66E-04	8.11E-04	2.89E-04	NA	0.002956457	2.77E-03	1.94E-04	3.09E-03	2.79E-03	0.002952431	NA	4.99E-04	4.28E-04	3.86E-04	1.85E-04	1.65E-04	4.79E-04	2.56E-04	1.58E-04	4.48E-04	1.70E-04	1.73E-04	1.69E-04	NA	1.02E-04	9.98E-04	9.61E-04	4.40E-05	NA	1.94E-04	0.001560813	NA	1.28E-04	1.48E-04	1.06E-04	NA	NA	1.26E-04	NA	NA	7.54E-05	NA	3.43E-04	0.001930311	NA	1.10E-04	NA	NA	NA	NA	3.07E-04	NA	NA	NA	NA	NA	NA	6.00E-04	NA	NA	NA	9.06E-05	8.54E-04	1.85E-04	NA	NA	9.54E-04	0.001236779	2.16E-04	0.002793214	0.001155337	0.001447314	0.002946463	9.88E-04	7.24E-04	0.003393643	NA	NA	NA	NA
DNA/DTM	3.62E-04	0.127365235	1.54E-03	NA	2.54E-04	NA	NA	NA	6.94E-05	2.73E-04	1.58E-04	3.68E-03	3.63E-04	2.12E-04	4.02E-04	1.16E-04	0.007476458	3.20E-03	2.54E-04	3.67E-04	2.06E-04	7.83E-04	6.99E-05	3.66E-04	7.78E-05	7.03E-05	7.43E-05	7.58E-05	1.26E-04	0.00529437	0.001684175	0.015334596	0.004901494	0.004591112	0.007266818	NA	3.25E-04	1.93E-04	6.91E-05	0.001169478	0.023023972	4.18E-04	5.26E-04	4.51E-04	0.004473923	3.28E-04	0.001418951	0.013675528	0.006007821	8.97E-04	5.04E-04	8.39E-04	0.007970699	7.35E-04	3.00E-04	0.010968216	1.78E-04	1.90E-04	2.17E-04	0.008964188	0.014294298	2.39E-04	0.00154541	0.003239568	0.001990376	0.004042299	0.002772169	0.001902878	0.002692597	0.001770025	0.002904504	0.001734338	0.001590422	0.002683489	7.68E-04	0.002084772	0.017131582	5.14E-04	0.001620159	0.002860911	0.002072007	8.14E-04	4.00E-04	2.41E-04	0.001288835	3.99E-04	2.41E-04	2.40E-04	6.29E-04	2.42E-04	2.48E-04	2.16E-04	0.00161997	0.001499483	0.001368934	2.53E-04
DNA/DTT	NA	NA	2.63E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.72E-05	NA	NA	2.53E-05	1.62E-04	NA	1.39E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.04E-04	2.42E-04	2.39E-04	NA	1.45E-04	4.57E-04	4.24E-04	1.04E-04	4.92E-04	4.80E-04	1.17E-04	NA	9.47E-05	NA	1.00E-04	NA	NA	2.17E-04	0.001845133	NA	NA	NA	9.17E-05	NA	1.31E-04	0.004635354	NA	NA	NA	NA	NA	NA	NA	2.81E-05	2.58E-05	2.58E-05	2.59E-05	2.82E-05	2.58E-05	2.59E-05	2.58E-05	2.60E-05	2.57E-05	2.58E-05	NA	NA	NA	NA	NA	6.57E-05	8.59E-05	NA	NA	NA	NA	NA	NA	NA	3.13E-04	NA	NA	7.13E-05	NA	2.57E-05	2.61E-05	2.60E-05	9.95E-05
DNA/Helitron	NA	0.003645283	2.33E-03	1.25E-04	1.85E-04	2.24E-04	1.72E-04	NA	1.89E-04	NA	1.07E-04	1.36E-03	4.20E-03	1.08E-04	NA	6.37E-04	4.02E-03	1.42E-04	4.31E-04	0.006484271	1.15E-04	3.90E-03	6.12E-04	3.16E-03	6.81E-04	6.16E-04	6.51E-04	6.64E-04	1.22E-04	0.010053189	0.037344809	0.028796333	0.004713259	0.011561752	0.003419126	0.008163221	0.002506459	0.006351447	0.005315601	8.42E-04	0.00163615	0.005089235	0.004783889	0.004349543	NA	0.001258673	0.008680955	0.002616518	0.001258726	0.004518717	0.006440473	0.005552857	0.001252463	0.002411303	0.003617362	0.001570243	0.001401692	0.002506321	0.004523742	3.14E-04	0.002003823	0.00234771	0.003063818	0.002259733	0.001480004	0.003685989	0.00226913	0.002150517	0.002245975	0.002976988	0.001946454	0.001468925	0.002407082	0.001543262	0.00271374	0.001586346	0.015356282	0.003280452	0.030710963	0.002755533	0.001356094	0.001845832	0.00487107	0.004525933	0.003991244	5.87E-04	0.004677475	0.004707129	0.004464563	0.005255362	3.68E-04	0.003984897	0.002211848	0.002373931	0.001957062	NA
LINE/unknown	0.040391471	0.021021965	NA	NA	NA	NA	0.001497829	NA	NA	NA	NA	0.003325584	0.002625085	5.46E-04	2.37E-03	0.004229327	1.36E-03	0.015536529	2.73E-03	NA	0.001913431	0.00124474	0.001343916	0.001749562	0.00149717	0.001353068	0.001430138	0.001459106	0.002674949	0.025492458	0.030597979	NA	0.030105696	0.030637118	0.030411538	0.027666204	0.026892275	0.024923225	0.01767422	0.005214084	9.07E-04	NA	NA	0.003059349	0.002794272	NA	NA	NA	0.001928165	NA	0.005285955	NA	0.003145496	0.002910492	0.002263565	0.002832722	0.002491025	0.012631578	0.007697237	0.002197115	0.001247479	NA	NA	NA	NA	NA	0.001007843	1.65E-04	9.35E-04	NA	0.001036659	9.14E-04	NA	0.015826398	0.012750871	0.008632583	0.016715516	0.01764222	0.007459641	0.039069865	5.15E-04	NA	0.004970097	0.004684718	0.00488334	0.002852401	0.004391313	0.004694607	0.004488094	0.006377037	0.005412297	0.003373734	NA	0.001374723	9.23E-04	NA
LTR/Copia	0.006528456	1.20E-04	1.95E-04	4.62E-05	5.58E-05	1.07E-04	8.88E-05	5.75E-05	6.10E-05	5.69E-05	1.00E-04	NA	NA	NA	7.43E-05	NA	1.65E-03	8.16E-03	NA	NA	NA	NA		NA	NA	NA	NA	NA	5.70E-04	0.002849417	0.002142471	0.002321851	0.002052731	0.001609252	0.002994832	0.002833096	NA	1.81E-05	2.51E-04	0.002648601	NA	3.31E-05	2.26E-05	NA	4.77E-04	NA	NA	6.04E-04	0.001944483	3.45E-05	0.00184496	3.02E-05	NA	0.014770742	0.002167111	0.002462369	NA	0.004533006	0.00372653	0.003303263	2.95E-05	NA	2.17E-04	1.91E-04	1.93E-04	1.79E-04	1.97E-04	2.09E-04	1.98E-04	NA	1.90E-04	1.77E-04	2.08E-04	2.31E-04	0.00861519	0.009357924	8.76E-04	0.008177663	0.005146247	6.77E-04	NA	5.22E-04	NA	5.02E-04	NA	0.001430785	5.03E-04	NA	NA	NA	3.97E-04	NA	2.01E-04	1.82E-04	1.77E-04	1.24E-05
LTR/Gypsy	0.007414949	1.40E-02	4.43E-04	6.51E-04	6.32E-04	5.50E-04	9.03E-04	4.71E-05	2.57E-04	1.20E-03	5.18E-04	0.052934454	0.034588082	4.12E-04	4.08E-03	8.47E-02	2.16E-02	0.086015455	0.003155896	1.55E-02	0.002997566	0.002856171	0.003826543	0.005273443	0.004262903	0.003852602	0.004072045	0.004154525	0.003150041	0.006383639	0.017920634	0.034721222	0.049327421	0.019884687	0.015211159	0.025787707	0.069723382	0.012806605	0.052580634	NA	NA	4.89E-05	1.11E-04	0.08567355	0.029482293	0.003812624	4.42E-04	0.011530181	0.00597532	5.40E-05	0.023974965	6.39E-05	0.090494887	0.009496615	0.094279076	0.137506162	0.016238457	0.06320287	0.153487856	0.083985105	8.96E-04	0.011171004	4.33E-04	4.23E-04	3.95E-04	4.10E-04	4.25E-04	4.53E-04	4.63E-04	4.10E-04	4.38E-04	4.24E-04	4.21E-04	0.061430365	0.011100558	0.008969648	0.121938713	0.080569374	0.039061112	0.167531111	0.026614309	NA	0.003703964	0.00364752	0.004114865	0.004381648	0.003805332	0.004039261	0.003656729	0.003704054	0.003963901	0.004398848	3.82E-04	4.66E-04	4.12E-04	3.57E-04
LTR/unknown	0.291646935	0.160895622	0.002021418	0.015710713	0.001752061	0.002618139	0.012946806	0.002646169	0.002717219	0.017758932	0.017087292	0.036984566	0.028829738	0.005232199	0.155735974	0.050648248	0.084470145	0.161541629	0.013925857	4.53E-02	0.0129189	0.013338098	0.011297948	0.011506369	0.012586313	0.011374888	0.0120228	0.012266324	0.011545966	0.100407188	0.074065308	0.068290949	0.022174648	0.038434081	0.036782415	0.07773383	0.032412699	0.051372338	0.030750759	0.060651399	0.039161458	1.81E-06	NA	0.037031247	0.13972695	0.078049825	0.001868388	0.055602085	0.130786484	0.002048956	0.174425491	1.75E-06	0.034162838	0.125992484	0.058257998	0.030228713	0.080814103	0.14159965	0.289383639	0.085085417	0.041039949	0.081171142	0.002185322	0.002820154	0.002302602	7.79E-04	0.002458259	0.00234883	0.002651734	0.002975695	0.002727835	0.003079119	0.002753725	0.151864399	0.170285821	0.198371012	0.152943284	0.114630943	0.155345269	0.039053185	0.013668345	0.015824053	0.016501761	0.013409208	0.009907866	0.011073333	0.014656267	0.007462101	0.015041492	0.012235689	0.009465071	0.012615332	0.00231115	0.00338426	5.98E-04	0.014113069
